@relation dataset_training

@attribute 'isi pengaduan' string
@attribute 'instansi tujuan' {'Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar','Dinas Perhubungan Kota Denpasar','PDAM Kota Denpasar'}

@data
'jalan rusak aspal lokasi jalan pulau bungin','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'fasilitas dips bar pojok selatan barat puput badung patah kaki potong gergaji bahaya masyarakat mohon tindak lanjut ganti pasang kaki beton patah kali kali','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong bantu aspal jalan trengguli i tatih gor tambawu kopertis knpi balai bahasa jalan rusak lubang pool bus gudang ekpedisi truk kurang umur jalan kerja','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'trotoar jebol balai banjar yangbatu kangin tolong dinas kait baik musim hujan deras air got luber reta trotoar genang toko terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon jalan gunung patas padangsambian aspal jalan sube benyah latig tamu tinggal daerah pariwisata jalan benyah latig tahun perhati pemkot','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'bantu salur air nuansa cempaka hujan deras banjir meter terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan tukad yeh biu gang bumi nyiur set densel jalan hancur','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait tambal lubang jalan tepat masuk jalan melati jalan patimura terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan rusak kunjung baik pemkot denpasar lapor keluh nol tindak pemkot denpasar pribadi sumbang beli kapur baik jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'solusi nuansa cempaka banjir hujan deras terima','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'terima kasih gang banjir','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong bersih got jalan trijata no belok trijata bersih kemarin got jalan masuk trijata trima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik jalan lubang jalan merdeka tikung bambu media bahaya guna jalan hujan tutup air','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik jalan gatot subroto i ii jalan gatot subroto i xix desember tambal lubang lihat jalan salur air air genang jalan cepat rusa jalan mesti salur air telah baik jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'pagi admin jalan arah tl padangsambian jalan buana raya tata ulang aspal jalan lubang bahaya guna jalan salah jalan hancur akibat pasang kabel tanah padam pasang pipa lupa kerja jalan atur rusak moga lekas cepat respons terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'banjir putar jalan puput puput iii taman janggan x banjir','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong banjir nuansa cempaka solusi','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastyastu tolong tutup pintu air belah barat banjar sumuh arah subak kerdung dung sumber banjir dung tolong air','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon instansi kait tiga kali lapor sungai alir tukad mati daerah jalan gunung cemara gang b mohon keruk lumpur sampah sungai dangkal dam tukad mati buka jalan gunung cemara gang b','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon tindak lanjut banjir jalan nuansa cempaka alir air perhati lancar dalam','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon tindak dalam salur air daerah pemogan rumah kepaon permai karna dangkal salur air utama','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong jalan tujad buaji banjir got mampat sampah tumpuk mohon instansi kait bantu daerah','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'lapor banjir jalan pakusari gang xi set denpasar selatan lapor hujan deras atas jam gang xi banjir cm salur air got gang hujan deras banjir masuk halaman rumah tinggi cm gang mati motor mohon informasi dinas kait buat salur air terima kasih perhati tindak','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'wali alamat jalan teuku umar barat pura demak banjar buagan mohon solusi resah musim hujan pikir keras banjir banjir hantu banjir tolong wali solusi','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kali hujan lebat kawasan rumah cempaka sari residen landa banjir mohon survei lapang alir air buang salur','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait menindaklanjuti salur air jalan gunung galunggung dusun liligundi sumbat sebab banjir terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon gelontor drainase gang turi bedogol iv jalan nangka selatan banjir rendam rumah warga akibat dangkal drainase','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang lumayan diameter meter jalan gelogor carik persis pasar kangkung mohon tambal perhati','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'banjir gang dewi sri gelogor carik pemogan denpasar selatan hujan malam tanggal januari curah hujan daerah gelogor carik utara sisi barat utama gang dewi sri gang gelogor permai gang suci gang flamboyan rumah cuculan permai gang koala gang nuri gang camar gang kangguru gang monyet banjir lutut orang dewasa cm curah hujan malam air salur got gang rendah alir air tabah jinjing alir tabah jinjing belah barat tabah jinjing alami dangkal normalisasi dalam meter selatan alir air sempit alangkah baik tabah jinjing normalisasi buat sender permanen dalam pada mohon atensi terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'selamat pagi kepala dinas kerja tata ruang denpasar jalan dib waturenggong simpang tukad langit toko sondari banten trotoar ambrol mohon cek bahaya pejal kaki','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'pemkot denpasar rusa jalan angsur lokasi jalan kertapura teuku umar barat kondisi jalan lubang dalam cm parah genang air hujan salur tanah drainase luap air drainase sembur khawatir guna jalan bilamana jebol korban jiwa sulit tolong hanyut jalan muncul korban jiwa mohon respons terima kasih salam hangat denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'perum yani permai blok d waspada air mohon kait eru tabah belah timur selatan rumah tampung debit air','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kondisi jalan tukad badung gang xvii jalan lumayan ramai pakai tembus jalan tukad balian kondisi jalan gelombang bebatuan rawan jatuh kendara motor hujan genang air foto jam siang','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan tukad badung gang xvii gelombang lubang hujan genang air contoh foto ambil jam siang rabu genang air sisa hujan kemarin gang xvii lumayan ramai tembus jalan tukad balian mohon info aspal jalan tinggal aspal jalan terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'longsor dinding sungai jalan warga lalang tangan moga lapor prodenpasar tangan kait lokasi jalan bukit baris','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'air genang jalan gunung kratakatau toko belah seme badung tepat sd pecut genang tangan jalan orang tua antar jemput anak sekolah','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kad pupr mohon bantu paving aspal rusak jalan gajahmada jembatan terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kad pupr mohon bantu baik jalan lubang lokasi jalan p salawati','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'banjir pemogan jalan pemogan gang permata jaya gang parerepan pemogan permai parah akibat sungai salur air halang kurang lebar arah selatan lapor klian desa pemogan ungsi rumah bulan aparat desa tinjau ambil tindak utama normalisasi sungai pulang ungsi januari banjir kali parah air masuk rumah mohon tindak dinas kait selesai buntu harap ada normalisasi korban material korban jiwa tunggu tin sampa rumah','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'selokan dangkal air banjir sampah dangkal selokan belah timur jalan kertalangu joganging track','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu kait menindaklanjuti jalan lubang kali celaka tunggal ada jalan lubang lokasi jalan didik','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu instansi kait baik batas tukad ambruk banjir kemarin bahaya guna jalan malam karna tempat terang hari jalan penuh orang tua jemput anak sekolah harap hujan lebat luap tukad langsung rumah warna akibat banjir beberapa rumah duduk benah tim biru denpasar lokasi jalan pulau serang gang pipit denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'trotoar jebol bahaya pejal kaki','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait tambal jalan lubang wulan busana jalan tukad bilok lubang jalan terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait baik sender got jebol jalan tukad bilok tepat sd sanur makan badan jalan terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait tambal jalan lubang jalan danau rat terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan gelogor carik pasar kangkung lubang tambal januari lubang mohon tambal kualitas bagus','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'aspal rusak baik mohon instansi kait tindak lanjut lokasi jalan pulau bungin','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'instansi kait mohon bantu jalan lubang jalan raya set banjar pegok set','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon opada kait tangan jalan lubang jalan bukit baris sempadan tukad badung warga jatuh','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'selamat malam adu puluh pro denpasar gang wijaya kusuma tegalwangi set kurang hormat tindak lanjut kece bantu baik gang rusak parah parah rusa jatuh terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu tambal jalan lubang kad pupr lokasi jalan yudistira lingkung sari lurah ubung','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'trotoar jalan ken arok rusak parah truk muat parkir sembarang langgar rambu lintas','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastiastu lampu led tukad kumbasari padam mohon instansi kait tangan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan pulau galang persis tiga jalan tukad mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'wali kagum kerja jalan lokasi pura demak kerja ratus meter jalan lanjut mohon tindak kondisi jalan prihatin gambar moga perhati warga denpasar asli','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon tinjau jalan gunung guntur denpasar jalan rusak bagus jalan masuk buat sim','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan jaya pangus rusak lubang bahaya guna jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait perihal salur got jalan jayasakti mampat hujan air jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu baik jalan aspal rusak jalan desa serang mohon dinas pupr bantu','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas pu bantu salur air got jalan seruni mampat air got jalan lokasi gedung kemala hikmah polda bal bantu tim gelontor sedimentasi salur got penuh kuras jalan seruni hujan banjir genang air ujung jalan seruni jalan supratman','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastiastu lapor jalan rusak lubang tikung jalan merdeka tanjung bungkak tolong tindak','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan paving jalan karang sari blok b jebol jalan blok c hambat mohon tangan kali jebol paving jebol makas','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'instansi kait tolong buat irigasi gang rama dewa jalan tukad badung realisasi mohon jelas kemarin lapor tindak jelas','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'februari liat tutup got jebol lubang lumayan meter jebol akibat hujan lebat guyur tambah truk lalang larang truk imam bonjol mohon atensi terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kait mohon baik jalan layak jalan karang sari iv','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan rusak lubang lokasi jalan kebo iwa utara gang xx','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong kait jalan pertulaka drainase tindak lanjut tambal kali aju musdes desa peguyangan kangin musrembang harap baik','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang jalan majapahit pintu masuk gedung graha sewaka dharma tolong atensi bahaya kendara motor kunjung graha sewaka dharma terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan tukad badung utara selatan lubang tolong instansi kait pu baik tutup jatuh korban','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik jalan rusak jalan antasura gang batu sari peguyangan kangin denpasar utara','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'trotoar rusak jalan padma tatih papi mart pom bensin kampus ngurah rai','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang lokasi jalan trengguli arah sisi kanan kiri jalan bahaya guna sepeda motor lubang dalam cm dukung hujan deras lubang tutup air','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'salur air sumbat endap lumpur asal tomo vi salur irigasi tomo viii sumbat akibat banjir hujan tolong diglontorkan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'sampah got rumput liar tolong bersih lokasi jalan trijata no belah babi guling wi aceng adu tanggal januari tindak lapang lambat','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'ijin lapor mohon bantu kait jalan lubang jalan antasura banjar punduh kulit desa peguyangan kaja','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas pu tambal aspal lokasi jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon dinas kait bersih sampah gelontor got warung tulisa sari bal klasik wedding dangkal sampah lokasi jalan sedap malam','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'ampure kad pu mohon bantu jalan pertulaka rusak bahaya kendara atensi','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan rusak jalan mekar ii pemogan denpasar selatan mohon perhatianya','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'informasi jalan lubang jalan tukad petanu jalan tukad petanu no panjer siang orang jatuh','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'bantu salur air si nuansa cempaka hujan cepat banjir debit air dalam lebar salur air nuansa cempaka lapor kali kali sukseme','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang parah baik kota anak jatuh celaka sepeda hujan mohon perhati warga swadaya tambal limestone lokasi jalan kertapura','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastiyastu langsung aju keluh jalan lingkung d jalan ahmad yani utara gang satriya b perhati kondisi rusak kena hujan d rencana baik jalan lihat gang d baik d paving gang mohon perhati','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'instansi kait pemkot denpasar lubang lubang nganga jalan raya tukad badung jalan tukad badung jalan rusak mohon tindak cipta jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu tutup lubang gali jebol jalan tk unda renon jadi baik ada kondisi buruk bahaya guna jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tanggal januari lapor jalan rusak lokasi atas tugas langsung merespon baik tanggal jalan lubang standar aspal mohon awas lapang terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik jalan rusak nambah jalan muhamad yamin vii timur balai banjar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong atensi dinas kait trotoar jebol jalan a yani utara tepat belah utara toko daimaru bahaya pejal kaki lintas terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'selamat siang tiang lapor adu wakil rakyat jalan pulau kawe ujung ujung jalan lubang pribadi hindar jalan lubang jatuh khawatir lansia warga lubang mohon bantu tindak lanjut lapor bendesa gubris makas','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'instansi kait mohon baik jalan lingkung belah utara pasar adat padangsambian jalur vital kasihan anak sekolah pas musim hujan adu kali kali respons','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pupr mohon bantu jalan lubang jalan p moyo bahaya kendara','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong perhati jalan kertadalam tukad badung xx tukad sempol jalan rusak sebab macet tolong tambah larang masuk truk bus jalan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang dipertulaka baik tambal lubang harap dinas kait tangan bahaya kanan kiri lubang','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan batu kunjung baik solusi sukseme lokasi jalan nuansa cemp','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar om swastiastu wilayah kab badung wewenang dinas pu kodya denpasar paksa pos pro denpasar pemkab badung sedia sarana apps lapor tolong pu kodya denpasar informasi longsor bahaya dinas pu kab badung','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya on swastiastu tolong info dinas pu pemkab badung matyr','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan rusak parah air luap parit pidada v akibat debit air sungai pasar pidada','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om suastiastu mohon dinas kerja bantu aspal pemavingan jalan antasura gang batusari peguyangan kangin denpasar kondi jalan parah bahaya gang batusari baik gang lingkung paving moga respons cepat terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon gelontor salur air jalan cokroaminoto warung liligundi tepat dusun liligundi musim hujan akibat banjir','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'yth dinas pu kodya denpasar lubang jalan padang udayana mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pupr mohon bantu kondisi jalan gurita banjar karya dharma','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu dinas pupr tl jalan gili biaha desa dauh puri klod jalan lubang makan korban jatuh lokasi','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu dinas kait bocor pipa dsdp jalan d buyan tepat wisata sanur','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastiastu instansi kait mohon bantu baik jalan rusak jalan tunggul ametung iii jalan masuk tunggul ametung iiia kondisi rusak lubang khawatir bahaya aman guna jalan terima kasih om santi santi santi om','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'got rusak akibat proyek pln air genang','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar air got luap genang pasar kangkung jalan gelogor carik mohon tangan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'empat teuku umar barat mahendradata urug tanah kosong truk truk jajar antre masuk tanah urug akibat tanah urug cecer jalan tiga soputan akibat debu kabut akibat mata kendara motor perih akibat celaka mohon tindak lanjut celaka mata perih mohon','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong bantu nuansa cempaka hujan sebentar air banjir pinggang isi rumah hancur anak muntaber x rumah','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu dinas kait rumah orang tua ayan utara daimaru denpasar minggu mampat selokan air pinggir jalan got dipaping sulit bersih sampah lumpur air got luap rumah pinggir jalan bau ganggu mohon bantu','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu dinas kait trotoar jalan padma kampus ngurah rai pas lempuyang agung toko mabel kayu seberang jala mohon tindak lanjut bahaya foto lampir','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan rusak kampus ngurah rai lumayan lubang mohon tambal jalan masuk kampus hampur jebol mohon tindak lanjut rusa parah terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan pulau ayu mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang diameter cm jalan padang udayana tiga jalan gunung agung mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan aspal tukad badung xv renon','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'badan instansi wenang dsdp nama nyoman sudirtha tinggal jalan yudistira gang no denpasar gang kerja dsdp ukur tugas','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang tiga jalan g batukaru imam bonjol','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon tindak lanjut instansi kait makan korban lokasi by pass teuku umar barat gang kerta pura','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas kerja tata ruang informasi jalan lubang lingkung jalan yos sudarso hotel ratu queen hotel kendara sepeda motor jatuh lubang mohon dinas kait baik lubang terima kasih perhati kerja sama','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas kerja tata ruang informasi jalan lubang lingkung jalan yos sudarso hotel ratu queen hotel kendara sepeda motor jatuh lubang mohon dinas kait baik lubang terima kasih perhati kerja sama','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'sender jebol dusun tegal kor desa ubung kaja kec denpasar utara mohon bantu instansi kait menindaklanjutinya keluh terima kasih kerja sama','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu baik trotoar jebol lokasi jalan warmadewa dusun binoh kaja desa ubung kaja kec denpasar utara selamat nyaman pejal kaki ditindaklanjuti terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu tanggal got jebol akibat air got luap jalan timbul bau sedap pandang jorok lokasi jalan warmadewa dusun binoh kaja desa ubung kaja kec denpasar utara banjar binoh kaja terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang pasar kangkung jalan gelogor carik mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang diameter cm jalan gelogor carik carrefour mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'selamat pagi pu mohon baik aspal lingkung jalan jalan dusun umasari desa ubung kaja camat denpasar utara warga jatuh kendara terima kasih kerja sama','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'selamat pagi realisasi aspal jalan kargo taman laksana lihat ukur jalan ukur janji tolong jalan akses pasar anyar proyek tinggal tinggal lanjut wajah lingkung kumuh isi batu liemstone hadil swadaya masyarakat mohon realisasi','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastiastu informasi jalan lubang jalan tukad mus traffic light diameter lubang lebar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan gelogor carik mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar mohon tutup aspal lubang jalan tukad petanu panjer bahaya celaka tunggal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan gelogor carik happy e mart mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tahun jalan manukrawa nangka utara rusak parah instansi kait baik','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu tata ruang kota denpasar mohon arah dinas pu tata ruang denpasar kait trotoar lingkung jalan yos sudarso rusak kondisi trotoar rusak lubang akibat rugi guna trotoar sandang tuna netra lintas trotoar jatuh mohon arah tindaklanjut dinas pu tata ruang kota denpasar baik trotoar perhati kerja sama ucap terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu paving gang lokasi jalan manukrawa gang a daerah jalan nangka utara','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas kerja lapor rusa jalan lubang jalan pakisaji kesiman denpasar bal rusa jalan ganggu guna jalan bahaya selamat kendara motor akibat sendat arus lintas ujung macet hari mohon dinas kait baik jalan aspal bahaya guna jalan kurang padat lintas akibat rusa jalan lapor mohon ditindaklanjuti terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kad pu kota denpasar mohon tangan jalan lubang lokasi jalan nangka utara gang manukrawa tahun perhati terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan nangka selatan gang lubang jalan bahaya lubang dsdp celaka celaka','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kad pu pr kota denpasar mohon bantu jalan nagasari tepat tikung puskesmas dentim bahaya kendara baik got paving jalan parkir semrawut got puskesmas tutup akibat kendara selatan makan badan ambil jalur','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'bantu dalam sungai nuansa cempaka hujan air luap banjir debet air alami meter banjir','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan rusak tolong tindak lanjut bahaya longsor lokasi jalan bukit baris','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'salur got baik jalan got mampat follow up hujan deras air got luap kadang luap air got salur kamar mandi lokasi jalan wibisana barat','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu solusi kait perum yani permai banjir hujan deras tumpek landep kemarin banjir landa blok d','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan bekas gali jalan gunung soputan depan spbu tiara besi besi motor robek ban pinggang sakit tolong perhati gali tutup orang celaka','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan gelogor carik hapoy e mart mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan noja rusak belah traffic light mohon baik terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar genang air jalan pulau galang mohon buat salur asir hujan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'dinas pu kodya denpasar lubang jalan gelogor carik mohon tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'om swastiastu informasi jalan lubang belah jalan kembang matahari','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon kait baik pas belah lampu trafic light jalan noja jalan lubang ganggu kendara papas jalan noja saraswati denpasar terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan tirta lepang desa kesiman kertalangu camat denpasar timur jalan rusak berat hujan banjir','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon perhati dinas pu jalan rumah jalan gunung catur ii kondisi rusak lubang lubang parah aspal jalan gunung catur utama gunung catur iv terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
